publicationId,title,year,facultyRelationships,reviewDecision,visibilityAfterPublish,reviewNotes
integration-of-stumpf-s-ratio-model-and-random-forest-for-satellite-derived-ba-9a746a0b,Integration of Stumpf's ratio model and random forest for satellite-derived bathymetry estimation,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
investigating-the-relationship-of-water-quality-on-land-cover-change-in-boraca-36a6e44b,Investigating the Relationship of Water Quality on Land Cover Change in Boracay Island,2024,ayin-m-tamondong|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
mapping-and-assessment-of-burned-areas-in-rizal-palawan-using-sar-burned-and-v-cd95aecf,"Mapping and assessment of burned areas in Rizal, Palawan using SAR burned and vegetation indices",2024,ariel-c-blanco,pending-review,internal,
mapping-and-assessment-of-slash-and-burn-farming-in-palawan-philippines-using-b56c8cc0,"Mapping and assessment of slash-and-burn farming in Palawan, Philippines using various fire and burnt area products",2024,ariel-c-blanco,pending-review,internal,
mapping-and-assessment-of-the-spatial-and-temporal-distribution-of-turbidity-i-60123062,MAPPING AND ASSESSMENT OF THE SPATIAL AND TEMPORAL DISTRIBUTION OF TURBIDITY IN LAKE BUHI FROM SENTINEL-2 IMAGES USING GEOGRAPHICALLY WEIGHTED REGRESSION AND NORMALIZED DIFFERENCE TURBIDITY INDEX,2024,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
mindoro-oil-spill-progress-monitoring-using-satellite-imagery-2024-8fd62655,Mindoro oil spill progress monitoring using satellite imagery,2024,ariel-c-blanco,pending-review,internal,
multisource-and-multitemporal-land-cover-mapping-of-greater-luzon-island-using-4a0a566f,Multisource and multitemporal land cover mapping of Greater Luzon Island using Google Earth Engine,2024,ariel-c-blanco,pending-review,internal,
onion-mapping-using-prisma-hyperspectral-image-comparative-analysis-of-k-means-82fc9834,Onion mapping using PRISMA hyperspectral image: comparative analysis of K-means classification and linear spectral unmixing,2024,ariel-c-blanco,pending-review,internal,
optimization-of-space-data-development-and-distribution-and-capacity-building-8f8a31fc,Optimization of Space Data Development and Distribution and Capacity Building in the Philippines through the PhilSA Integrated Network for Space Enabled Actions towards Sustainability (PINAS) Project,2024,ariel-c-blanco,pending-review,internal,
riverine-inputs-into-manila-bay-philippines-potentially-drive-changes-in-chlor-b9c69a3e,"Riverine inputs into Manila Bay, Philippines potentially drive changes in chlorophyll-a and total suspended matter concentrations measured from MODIS",2024,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
shoreline-change-analysis-in-new-washington-aklan-using-digital-shoreline-anal-b596779a,"Shoreline change analysis in New Washington, Aklan using Digital Shoreline Analysis System (DSAS)",2024,ariel-c-blanco,pending-review,internal,
site-suitability-analysis-of-salt-farms-in-pangasinan-using-geospatial-data-an-ca33e9dd,Site Suitability Analysis of Salt Farms in Pangasinan Using Geospatial Data and Analytic Hierarchy Process,2024,jommer-m-medina,pending-review,internal,
space-data-dashboard-empowering-institutions-and-citizens-with-seamless-space-d5f93c63,Space+ data dashboard: Empowering institutions and citizens with seamless space data access,2024,ariel-c-blanco,pending-review,internal,
spatiotemporal-analysis-of-traffic-accidents-hotspots-using-twitter-data-the-c-2c5a512d,Spatiotemporal analysis of traffic accidents hotspots using Twitter data: the case of Quezon City,2024,erica-erin-e-elazegui,pending-review,internal,
supervised-image-classification-model-for-coral-bleaching-detection-using-a-bi-e48ce5cb,Supervised image classification model for coral bleaching detection using a bi-temporal Sentinel-2 image stack,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
time-series-analysis-of-satellite-based-trace-gases-concentrations-in-port-are-6d211bdd,Time-Series Analysis of Satellite-Based Trace Gases Concentrations in Port Areas in the Philippines Using SENTINEL-5P,2024,ayin-m-tamondong,pending-review,internal,
towards-nationwide-mapping-of-seagrasses-in-the-philippines-empowering-student-0317af6f,Towards nationwide mapping of seagrasses in the Philippines: empowering students through remote sensing education,2024,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
tree-planting-prioritization-in-national-capital-region-philippines-using-remo-2fc44930,"Tree Planting Prioritization in National Capital Region, Philippines Using Remote Sensing, Analytic Hierarchy Process and Gis",2024,jommer-m-medina,pending-review,internal,
typhoon-karding-noru-storm-surge-analysis-using-the-coawst-modeling-system-202-a439b572,Typhoon Karding (Noru) storm surge analysis using the Coawst modeling system,2024,ayin-m-tamondong,pending-review,internal,
validating-the-philippine-mangrove-map-2023-through-capacity-building-and-crow-29aed7c9,Validating the Philippine Mangrove Map 2023 through capacity building and crowdsourcing,2024,ariel-c-blanco,pending-review,internal,
a-geospatial-approach-for-the-assessment-and-management-prioritization-of-phil-78904b46,A Geospatial Approach for the Assessment and Management Prioritization of Philippine Terrestrial Key Biodiversity Areas: Towards Meeting Global Sustainability Targets,2025,margaux-angelica-a-cruz,pending-review,internal,
aboveground-biomass-estimation-of-an-old-growth-mangrove-forest-using-airborne-a3ab47da,Aboveground biomass estimation of an old‐growth mangrove forest using airborne LiDAR in the Philippines,2025,ariel-c-blanco,pending-review,internal,
estimation-of-pm-concentrations-in-the-philippines-using-sentinel-5p-and-artif-c639970c,Estimation of PM concentrations in the Philippines using Sentinel-5P and artificial neural network,2025,ariel-c-blanco,pending-review,internal,
impact-of-land-cover-change-on-hydrology-and-coastal-water-quality-a-case-stud-d337d40e,Impact of Land Cover Change on Hydrology and Coastal Water Quality: a Case Study of the Agno River Basin Using Swat,2025,ayin-m-tamondong,pending-review,internal,
integrated-approach-for-coral-reef-conservation-and-rehabilitation-in-the-phil-9922e890,INTEGRATED APPROACH FOR CORAL REEF CONSERVATION AND REHABILITATION IN THE PHILIPPINES,2025,ayin-m-tamondong,pending-review,internal,
mapping-grassfire-burn-severity-with-sentinel-2-super-resolution-and-blacksky-0a367f10,"Mapping grassfire burn severity with Sentinel-2 super-resolution and BlackSky imagery: a case study of the 2025 Grassfire in Zambales, Philippines",2025,ariel-c-blanco,pending-review,internal,
mapping-the-benthic-habitats-of-boracay-and-santa-cruz-islands-philippines-usi-faa1deb8,"Mapping the benthic habitats of Boracay and Santa Cruz Islands, Philippines using Sentinel-2 imagery and random forest classification in Google Earth Engine",2025,ariel-c-blanco,pending-review,internal,
optimizing-blue-carbon-information-as-a-complementary-strategy-to-mangrove-con-32fe2403,"OPTIMIZING"" BLUE CARBON"" INFORMATION AS A COMPLEMENTARY STRATEGY TO MANGROVE CONSERVATION AND RESTORATION: A META-ANALYSIS ON CARBON STOCKS IN PHILIPPINE MANGROVES",2025,ariel-c-blanco,pending-review,internal,
a-framework-for-the-development-of-digital-spatial-weights-using-social-media-1ca191a8,A Framework for the Development of Digital Spatial Weights using Social Media Data: Methodological Foundation and Initial Analysis,2026,ariel-c-blanco|erica-erin-e-elazegui,pending-review,internal,Deduplicated from 2 identical title/year source rows.
aboveground-biomass-estimation-of-rice-crops-oryza-sativa-l-utilizing-paramete-8a3dcdc2,Aboveground Biomass Estimation of Rice Crops (Oryza sativa L.) Utilizing Parameters Derived From UAV-Based LiDAR And Multispectral Satellite Sensors,2026,ayin-m-tamondong,pending-review,internal,
analyzing-economic-spatial-patterns-of-the-metro-manila-urban-agglomeration-us-d0ad1c0f,Analyzing Economic Spatial Patterns of the Metro Manila Urban Agglomeration using Nighttime Light Data,2026,erica-erin-e-elazegui,pending-review,internal,
analyzing-urban-agglomeration-patterns-and-economic-development-in-metro-manil-2860fd08,Analyzing Urban Agglomeration Patterns and Economic Development in Metro Manila using Social Network Analysis,2026,erica-erin-e-elazegui,pending-review,internal,
assessing-the-impact-of-sun-glint-on-seagrass-and-benthic-habitat-classificati-f4179baf,Assessing the Impact of Sun Glint on Seagrass and Benthic Habitat Classification Accuracy across various Algorithms using PlanetScope Imagery,2026,margaux-angelica-a-cruz,pending-review,internal,
assessing-the-relationship-between-coastal-reclamation-and-seagrass-ecosystems-f7d54864,"Assessing the Relationship between Coastal Reclamation and Seagrass Ecosystems in Coron, Palawan using Multitemporal Remote Sensing, Shoreline Change Analysis, and Turbidity Mapping",2026,ayin-m-tamondong,pending-review,internal,
assessment-of-coastal-zone-changes-and-relative-bathymetry-in-dingalan-aurora-5728fc2c,"Assessment of Coastal Zone Changes and Relative Bathymetry in Dingalan, Aurora Using Remote Sensing Techniques",2026,ayin-m-tamondong,pending-review,internal,
assessment-of-groundwater-potential-in-north-central-palawan-using-remote-sens-546b1a0e,Assessment of Groundwater Potential in North-Central Palawan using Remote Sensing and Geophysical Analysis of Fractured Basement Aquifers,2026,ayin-m-tamondong,pending-review,internal,
assessment-of-metro-manila-urban-parks-cooling-effect-based-on-landscape-metri-5505b543,Assessment of Metro Manila Urban Parks’ Cooling Effect Based on Landscape Metrics Using Threshold Value of Efficiency (TVoE) Approach,2026,erica-erin-e-elazegui,pending-review,internal,
change-detection-of-invasive-swietenia-macrophylla-mahogany-in-bohol-man-made-2075b75d,Change Detection of Invasive Swietenia macrophylla (Mahogany) in Bohol Man-Made Forest from 2013-2023 Through Vegetation and Soil Spectral Indices Using Landsat 8 in Google Earth Engine,2026,erica-erin-e-elazegui,pending-review,internal,
defining-fire-regime-in-palawan-philippines-using-satellite-based-fire-and-bur-7c7b5e85,"Defining Fire Regime in Palawan, Philippines using Satellite-based Fire and Burned Area Products",2026,ariel-c-blanco,pending-review,internal,
delineation-and-extraction-of-information-on-farm-to-market-roads-fmr-using-ve-7bb793a6,Delineation and Extraction of Information on Farm-to-Market Roads (FMR) using Very High-Resolution (VHR) Satellite Image,2026,ariel-c-blanco,pending-review,internal,
development-and-application-of-coconut-vegetation-indices-cvis-for-rapid-and-a-15d0885b,"Development and Application of Coconut Vegetation Indices (CVIs) for Rapid and Accurate Coconut Mapping Using Sentinel-2 Images: A Case Study of Quezon Province, Philippines",2026,ariel-c-blanco|ayin-m-tamondong,pending-review,internal,Deduplicated from 2 identical title/year source rows.
development-of-a-gis-based-socio-spatial-quality-index-for-assessing-urban-res-680c034b,Development of a GIS-Based Socio-Spatial Quality Index for Assessing Urban Resettlement Outcomes: A Case Study of Quezon City,2026,jommer-m-medina,pending-review,internal,
estimating-and-mapping-mangrove-aboveground-biomass-in-zambales-province-north-2c090856,"Estimating and Mapping Mangrove Aboveground Biomass in Zambales Province, Northwest Philippines using Ensemble Modeling on Fusion of Open Satellite Data​",2026,ariel-c-blanco,pending-review,internal,
evaluating-machine-learning-algorithms-for-onion-mapping-in-nueva-ecija-philip-5d71450a,"Evaluating Machine Learning Algorithms for Onion Mapping in Nueva Ecija, Philippines Using Sentinel-2 Imagery",2026,ariel-c-blanco,pending-review,internal,
floating-photovoltaic-potential-assessment-of-angat-reservoir-philippines-usin-97589dc4,"Floating Photovoltaic Potential Assessment of Angat Reservoir, Philippines using Remote Sensing and Geographic Information Systems",2026,john-emmanuel-d-escoto,pending-review,internal,
green-green-grass-of-home-a-gis-based-analysis-of-greenspace-accessibility-in-7d788fa9,"Green, Green Grass of Home: A GIS-Based Analysis of Greenspace Accessibility in Quezon City",2026,ariel-c-blanco|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
habitat-suitability-modeling-of-seagrass-on-santiago-island-pangasinan-using-s-b2fd9e90,"Habitat Suitability Modeling of Seagrass on Santiago Island, Pangasinan Using Satellite Imagery-Derived Environmental Parameters",2026,jommer-m-medina,pending-review,internal,
integration-of-remote-sensing-and-particle-tracking-modeling-to-locate-marine-413ef950,Integration of Remote Sensing and Particle Tracking Modeling to Locate Marine Litter Accumulations in Manila Bay Pasig River Outfall,2026,ayin-m-tamondong,pending-review,internal,
mapping-the-unseen-the-impact-of-urban-sprawl-on-no2-co-and-o3-pollutants-in-c-9f160dae,"Mapping the Unseen: The Impact of Urban Sprawl on NO2, CO, and O3 Pollutants in Cavite Using Sentinel-2 and Sentinel-5P from 2020 to 2023",2026,jommer-m-medina,pending-review,internal,
modeling-land-surface-temperature-lst-and-surface-urban-heat-islands-suhi-in-t-1b8fbed7,Modeling Land Surface Temperature (LST) and Surface Urban Heat Islands (SUHI) in Taguig City (Philippines) using Material Distribution Derived from Linear Spectral Unmixing of PRISMA Hyperspectral Data,2026,ariel-c-blanco|erica-erin-e-elazegui,pending-review,internal,Deduplicated from 2 identical title/year source rows.
multitemporal-analysis-of-green-spaces-in-manila-philippines-through-a-green-i-70a5aa48,"Multitemporal Analysis of Green Spaces in Manila, Philippines through a Green Index",2026,jommer-m-medina,pending-review,internal,
onshore-wind-farms-suitability-analysis-using-gis-based-ahp-promethee-ii-2026-703a1f12,Onshore Wind Farms Suitability Analysis Using GIS-based AHP-PROMETHEE II,2026,jommer-m-medina,pending-review,internal,
post-disaster-building-damage-assessment-using-3d-surface-models-derived-from-bb0f4d22,Post-Disaster Building Damage Assessment Using 3D Surface Models Derived from Unmanned Aerial Vehicle (UAV) Imagery,2026,ariel-c-blanco,pending-review,internal,
prediction-of-red-tide-events-in-the-philippines-using-modis-derived-oceanogra-7adb430c,Prediction of Red Tide Events in the Philippines using MODIS-derived Oceanographic Parameters and XGBoost,2026,ayin-m-tamondong|john-emmanuel-d-escoto|jommer-m-medina,pending-review,internal,Deduplicated from 3 identical title/year source rows.
spatial-and-socioeconomic-drivers-of-land-use-change-in-high-density-residenti-d3f8dcc1,Spatial and Socioeconomic Drivers of Land Use Change in High-Density Residential Areas (R-3) in Quezon City: A Predictive Simulation Using the Cellular Automata-Markov Chain Model,2026,erica-erin-e-elazegui,pending-review,internal,
spatiotemporal-analysis-of-mining-induced-vegetation-loss-in-homonhon-island-u-74a29306,Spatiotemporal Analysis of Mining-Induced Vegetation Loss in Homonhon Island Using Normalized Difference Vegetation Index: Possible Impacts on Biodiversity and Community,2026,margaux-angelica-a-cruz,pending-review,internal,
spatiotemporal-analysis-of-the-potential-impact-of-the-masinloc-power-plant-on-222e13ba,"Spatiotemporal Analysis of the Potential Impact of the Masinloc Power Plant on the Thermal Pollution in Oyon Bay, Zambales, and its Correlation to the Seagrass Cover",2026,ayin-m-tamondong|jommer-m-medina,pending-review,internal,Deduplicated from 2 identical title/year source rows.
spatiotemporal-modeling-of-lava-dome-evolution-of-mt-mayon-during-its-2023-eru-44395119,Spatiotemporal Modeling of Lava Dome Evolution of Mt. Mayon during its 2023 Eruption using Remote Sensing Data,2026,ayin-m-tamondong,pending-review,internal,
