publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
geospatial-and-clustering-analysis-of-dengue-cases-using-self-organizing-maps-0b15e330,"Geospatial and Clustering Analysis of dengue cases using self-organizing maps: case of Quezon City, 2010–2015",2019,"JJ Valles, C Perez, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,geoai-spatial-data-science|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,75,READY - supported title and year
geospatial-assessment-and-modeling-of-urban-heat-islands-in-quezon-city-philip-7a4ded74,"Geospatial assessment and modeling of urban heat islands in Quezon City, Philippines using ols and geographically weighted regression",2019,"CA Alcantara, JD Escoto, AC Blanco, AB Baloloy, JA Santos","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|john-emmanuel-d-escoto,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"37,314",READY - supported title and year
geospatial-assessment-of-vulnerabilities-of-croplands-to-flooding-risks-a-case-51c1371b,Geospatial assessment of vulnerabilities of croplands to flooding risks: A case study of Philippine river basins,2019,"DMG Dela Torre, PKA Dela Cruz, RP Jose, NB Gatdula, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,56,READY - supported title and year
geostatistics-for-air-quality-mapping-case-of-baguio-city-philippines-2019-6f6b0e60,"Geostatistics for air quality mapping: Case of Baguio City, Philippines",2019,"RV Ramos, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems|water-air-environmental-quality,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,68,READY - supported title and year
gis-assisted-rain-induced-landslide-susceptibility-mapping-of-benguet-using-a-43d54ed1,Gis-Assisted Rain-Induced Landslide Susceptibility Mapping of Benguet Using a Logistic Regression Model,2019,"MN Cruz, KC Medina, AS Cabriga, F Mendoza, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,112,READY - supported title and year
gis-based-mapping-of-local-climate-zones-using-fuzzy-logic-and-cellular-automa-3d043db6,GIS-based mapping of local climate zones using fuzzy logic and cellular automata,2019,"I Estacio, J Babaan, NJ Pecson, AC Blanco, JE Escoto, CK Alcantara","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|john-emmanuel-d-escoto,climate-hazards-resilience,geoai-spatial-data-science|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"15,312",READY - supported title and year
historical-and-current-distribution-of-mangroves-in-the-philippines-spatio-tem-7a93061d,Historical and current distribution of mangroves in the Philippines: spatio-temporal analysis,2019,"AB Baloloy, AC Blanco",,other,,,ariel-c-blanco,coastal-marine-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,188,READY - supported title and year
hydropower-dam-site-selection-and-visualization-using-gis-and-rs-techniques-a-808f4451,"Hydropower dam site selection and visualization using GIS and RS techniques: a case of Marinduque, Philippines",2019,"RMA Fesalbon, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,geovisualization-decision-support|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,48,READY - supported title and year
ideal-kiosk-placement-in-up-diliman-for-equal-probability-of-customer-turnout-7a337d2e,Ideal Kiosk Placement in up Diliman for Equal Probability of Customer Turnout,2019,"KA Cabello, MAA Manabat, MBA Zamora, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,129,READY - supported title and year
illuminance-mapping-of-nighttime-road-environment-using-unmanned-aerial-system-96332d92,Illuminance mapping of nighttime road environment using unmanned aerial system,2019,"RT Bahia, MC Estur, AC Blanco, M Soriano","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,88,READY - supported title and year
indoorgml-based-topological-data-generation-from-omnidirectional-images-2019-626ce089,IndoorGML-based Topological Data Generation from Omnidirectional Images,2019,"AR Claridades, J Lee, A Blanco","한국측량학회 학술대회자료집, 69-73",other,,,ariel-c-blanco,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,187,READY - supported title and year
intra-urban-heat-island-detection-and-trend-characterization-in-metro-manila-u-e7f8c833,Intra-urban heat island detection and trend characterization in Metro Manila using surface temperatures derived from multi-temporal Landsat data,2019,"KP Landicho, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,87,READY - supported title and year
linear-spectral-unmixing-of-sentinel-3-imagery-for-urban-land-cover-land-surfa-19ceb06c,"Linear spectral unmixing of Sentinel-3 imagery for urban land cover-land surface temperature (LST) analysis: a case study of metro Manila, Philippines",2019,"C Cruz, AC Blanco, J Babaan, JA Cruz, E Paringit","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,67,READY - supported title and year
mapping-of-blue-carbon-ecosystems-effect-of-proximity-activity-types-and-frequ-fbf8766b,"Mapping of blue carbon ecosystems: effect of proximity, activity types and frequency of visits in the accuracy of participatory maps",2019,"RRT Francisco, AC Blanco, MAG Manalili, NB Gatdula, AJG Songcuan, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,97,READY - supported title and year
mapping-of-sargassum-distribution-in-the-eastern-coast-of-southern-leyte-using-acb48e0d,MAPPING OF SARGASSUM DISTRIBUTION IN THE EASTERN COAST OF SOUTHERN LEYTE USING SENTINEL 2 SATELLITE IMAGERY,2019,"JJ Lasquites, AC Blanco, A Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-4-w19-289-2019,https://doi.org/10.5194/isprs-archives-xlii-4-w19-289-2019,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"111,261",READY - supported title and year
offshore-submarine-groundwater-discharge-at-a-coral-reef-front-controlled-by-f-3599bac4,Offshore submarine groundwater discharge at a coral reef front controlled by faults,2019,"DLM Cantarero, A Blanco, MB Cardenas, K Nadaoka, FP Siringan","Geochemistry, Geophysics, Geosystems 20 (7), 3170-3185",other,,,ariel-c-blanco,coastal-marine-systems|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,22,READY - supported title and year
on-the-transferability-of-smart-energy-systems-on-off-grid-islands-using-clust-ad0aab24,On the transferability of smart energy systems on off-grid islands using cluster analysis–A case study for the Philippine archipelago,2019,"H Meschede, EA Esparcia Jr, P Holzapfel, P Bertheau, RC Ang, ...","Applied Energy 251, 113290",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,9,READY - supported title and year
optimization-of-ground-control-point-gcp-configuration-for-unmanned-aerial-veh-802fd8de,Optimization of ground control point (GCP) configuration for unmanned aerial vehicle (UAV) survey using structure from motion (SFM),2019,"JKS Villanueva, AC Blanco","The international archives of the photogrammetry, remote sensing and spatial …",other,,,ariel-c-blanco,,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,3,READY - supported title and year
radiometric-calibration-of-landsat-8-oli-and-sentinel-2-msi-images-for-water-q-b45ffeab,"Radiometric Calibration of LANDSAT-8 Oli and SENTINEL-2 MSI Images for Water Quality Modelling of Laguna Lake, Philippines",2019,"EV Gubatanga Jr, AC Blanco, CH Lin, BY Lin","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,186,READY - supported title and year
simulating-species-dominance-in-mixed-mangrove-forests-considering-species-spe-374fc713,"Simulating species dominance in mixed mangrove forests considering species-specific responses to shading, salinity, and inundation frequency",2019,"I Estacio, A Blanco",International Conference on Simulation and Modeling Methodologies …,other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change|water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,113,READY - supported title and year
spatial-and-temporal-analysis-of-monthly-water-consumption-and-land-surface-te-54f05b0c,Spatial and temporal analysis of monthly water consumption and land surface temperature (LST) derived using landsat 8 and modis data,2019,"R Enriquez, M Rodriguez, AC Blanco, I Estacio, LR Depositario","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,76,READY - supported title and year
spatial-and-temporal-community-detection-of-car-mobility-network-in-metro-mani-e034d81e,Spatial and Temporal Community Detection of Car Mobility Network in Metro Manila,2019,"BG Carcellar Iii, AC Blanco, M Nagai","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,152,READY - supported title and year
spatio-temporal-analysis-of-urban-heat-island-in-mandaue-city-philippines-2019-2ed255cb,"Spatio-temporal analysis of urban heat island in Mandaue City, Philippines",2019,"AM Rejuso, AC Cortes, AC Blanco, CA Cruz, JB Babaan","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,47,READY - supported title and year
spatiotemporal-analysis-of-the-urban-cooling-island-uci-effect-of-water-spaces-752e2d5d,Spatiotemporal analysis of the urban cooling island (UCI) effect of water spaces in a highly urbanized city: a case study of iloilo river and adjacent wetlands,2019,"JA Cruz, JA Santos, JJ Garcia, AC Blanco, AD Moscoso","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,58,READY - supported title and year
spatiotemporal-multi-satellite-biophysical-data-analysis-of-the-effect-of-urba-44d83585,"Spatiotemporal multi-satellite biophysical data analysis of the effect of urbanization on land surface and air temperature in Baguio City, Philippines",2019,"A Baloloy, RR Sta. Ana, JA Cruz, AC Blanco, NV Lubrica, CJ Valdez, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,34,READY - supported title and year
urban-effects-on-land-surface-temperature-in-davao-city-philippines-2019-fd26caa9,"Urban effects on land surface temperature in Davao City, Philippines",2019,"MM Tinoy, AU Novero, KP Landicho, AB Baloloy, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,,46,READY - supported title and year
using-openly-sourced-3d-geographic-information-systems-gis-in-determining-the-62d8b232,Using openly sourced 3D geographic information systems (GIS) in determining the photovoltaic potential of Quezon City Hall in terms of received direct solar radiation,2019,"MLR Lagahit, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,86,READY - supported title and year
co-evolution-of-landscape-forest-and-soil-in-a-planted-mangrove-eco-park-in-ka-862e90cd,"Co-Evolution of Landscape, Forest, and Soil in a Planted Mangrove Eco-Park in Kalibo, Philippines",2020,"W Dimalanta, CM Jaraula, RR Rollon, KL Bejasa, T Miyajima, FP Siringan, ...",Ocean Sciences Meeting 2020,other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,185,READY - supported title and year
development-and-application-of-a-new-mangrove-vegetation-index-mvi-for-rapid-a-6a323228,Development and application of a new mangrove vegetation index (MVI) for rapid and accurate mangrove mapping,2020,"AB Baloloy, AC Blanco, RRCS Ana, K Nadaoka","ISPRS Journal of Photogrammetry and Remote Sensing 166, 95-117",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,1,READY - supported title and year
estimation-of-chl-a-concentration-in-laguna-lake-using-sentinel-3-olci-images-73ffbb5d,Estimation of chl-a concentration in laguna lake using sentinel-3 olci imageS,2020,"AC Blanco, A Manuel, R Jalbuena, K Ticman, JM Medina, E Gubatanga, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"110,328",READY - supported title and year
evaluation-of-object-based-classification-methods-for-mapping-benthic-habitats-6aa80257,Evaluation of object-based classification methods for Mapping Benthic habitats using Bathymetric LiDAR derivatives,2020,"A Tamondong, IE Cadalzo, MS Estabillo, GA Go, C Cruz, A Blanco",Philippine Engineering Journal 41 (2),other,,,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"109,260",READY - supported title and year
investigating-the-effects-of-river-discharges-on-submerged-aquatic-vegetation-8abaae0f,Investigating the effects of river discharges on submerged aquatic vegetation using UAV images and GIS techniques,2020,"A Tamondong, T Nakamura, Y Kobayashi, M Garcia, K Nadaoka","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-v-5-2020-93-2020,https://doi.org/10.5194/isprs-annals-v-5-2020-93-2020,ayin-m-tamondong,ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,244,READY - supported title and year
land-cover-monitoring-of-laguna-lake-watershed-using-modis-ndvi-data-2020-218f218a,Land cover monitoring of laguna lake watershed using MODIS NDVI data,2020,"JM Medina, AC Blanco, CG Candido","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"96,324",READY - supported title and year
modelling-and-simulation-of-potential-future-urbanization-scenarios-and-its-ef-3af05928,"Modelling and simulation of potential future urbanization scenarios and its effect on the microclimate of lower session road, baguio city",2020,"A Baloloy, JA Cruz, A Blanco, NV Lubrica, CJ Valdez, JJ Bernardo","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,42,READY - supported title and year
modelling-of-land-surface-temperature-using-gray-level-co-occurrence-matrix-an-d939bc98,Modelling of land surface temperature using gray level co-occurrence matrix and random forest regression,2020,"AC Blanco, JB Babaan, JE Escoto, CK Alcantara","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|john-emmanuel-d-escoto,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"84,316",READY - supported title and year
optmization-of-bio-optical-model-parameters-for-turbid-lake-water-quality-esti-212bfe53,Optmization of bio-optical model parameters for turbid lake water quality estimation using Landsat 8 and wasi-2D,2020,"A Manuel, AC Blanco, AM Tamondong, R Jalbuena, O Cabrera, P Gege","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlii-3-w11-67-2020,https://doi.org/10.5194/isprs-archives-xlii-3-w11-67-2020,ariel-c-blanco|ayin-m-tamondong,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"51,243",READY - supported title and year
spatial-disaggregation-of-landsat-derived-land-surface-temperature-over-a-hete-8f748bed,Spatial disaggregation of Landsat-derived land surface temperature over a heterogeneous urban landscape using planetscope image derivatives,2020,"JA Cruz, JA Santos, A Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,50,READY - supported title and year
spectral-and-spatial-kernel-water-quality-mapping-2020-d717172c,Spectral and spatial kernel water quality mapping,2020,"HJ Chu, LM Jaelani, M Van Nguyen, CH Lin, AC Blanco","Environmental Monitoring and Assessment 192 (5), 299",other,,,ariel-c-blanco,water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,66,READY - supported title and year
waternet-a-convolutional-neural-network-for-chlorophyll-a-concentration-retrie-c34434a8,WaterNet: A convolutional neural network for chlorophyll-a concentration retrieval,2020,"MA Syariz, CH Lin, MV Nguyen, LM Jaelani, AC Blanco","Remote Sensing 12 (12), 1966",other,,,ariel-c-blanco,water-air-environmental-quality,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,7,READY - supported title and year
ashfall-dispersal-mapping-of-the-2020-taal-volcano-eruption-using-diwata-2-ima-78235713,Ashfall dispersal mapping of the 2020 Taal Volcano eruption using Diwata-2 Imagery for disaster assessment,2021,"EJG Merin, ALF Yute, CJS Sarmiento, EE Elazagui","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,erica-erin-e-elazegui,climate-hazards-resilience,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,303,READY - supported title and year
assessment-of-pine-forest-condition-towards-early-detection-and-monitoring-of-cfec9684,Assessment of Pine Forest Condition Towards Early Detection and Monitoring of Stress Through a Synergistic Use of Sentinel-1 and Sentinel-2 Imagery,2021,"MEP Neri, BAB Recto, AC Blanco, RV Ramos","Journal of Advanced Geospatial Science & Technology 1 (1), 1-18",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,108,READY - supported title and year
blue-carbon-ecosystem-services-through-a-vulnerability-lens-opportunities-to-r-a02e3f31,Blue carbon ecosystem services through a vulnerability lens: opportunities to reduce social vulnerability in fishing communities,2021,"TEAL Quiros, K Sudo, RV Ramilo, HG Garay, MPG Soniega, A Baloloy, ...","Frontiers in Marine Science 8, 671753",other,10.3389/fmars.2021.671753,https://doi.org/10.3389/fmars.2021.671753,ariel-c-blanco|ayin-m-tamondong,climate-hazards-resilience|coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"18,237",READY - supported title and year
development-of-a-digital-twin-for-the-monitoring-of-smart-cities-using-open-so-9a20ef2d,Development of a digital twin for the monitoring of smart cities using open-source software,2021,"JE Escoto, D Fargas Jr, K Panlilio, M Jerez, CJ Sarmiento","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,john-emmanuel-d-escoto,urban-sustainable-systems,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,315,READY - supported title and year
development-of-a-framework-for-a-functional-structural-seagrass-transplantatio-1461f6c9,Development of a Framework for a Functional-Structural Seagrass Transplantation Simulation using GAMA Platform.,2021,"TAM Rollan, AC Blanco, E Macatulad","SIMULTECH, 248-255",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,128,READY - supported title and year
development-of-a-rapid-mangrove-zonation-mapping-workflow-using-sentinel-2-der-c796b9e8,Development of a rapid mangrove zonation mapping workflow using Sentinel 2-derived indices and biophysical dataset,2021,"AB Baloloy, AC Blanco, S Sharma, K Nadaoka","Frontiers in Remote Sensing 2, 730238",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,28,READY - supported title and year
development-of-the-im4manilabay-mapable-web-portal-2021-d8a1336e,Development of the IM4MANILABAY Mapable Web Portal,2021,"NB Gatdula, BJD Jiao, JA Laurente, AC Blanco, JM Medina, D Fargas, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,,geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"181,341",READY - supported title and year
development-of-the-masdan-mobile-application-and-web-based-gis-interface-for-t-a4d35267,Development of the Masdan Mobile Application and Web-Based GIS Interface for the Monitoring and Management of the Manila Bay Environment,2021,"GAM Narciso, DC Fargas Jr, CG Candido, JM Medina, MLP Tinio, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,,geovisualization-decision-support|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"150,332",READY - supported title and year
evaluation-of-the-cooling-effect-of-green-and-blue-spaces-on-urban-microclimat-a47d5ab4,"Evaluation of the cooling effect of green and blue spaces on urban microclimate through numerical simulation: A case study of Iloilo River Esplanade, Philippines",2021,"JA Cruz, AC Blanco, JJ Garcia, JA Santos, AD Moscoso","Sustainable Cities and Society 74, 103184",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,4,READY - supported title and year
improving-the-consistency-of-multi-temporal-land-cover-mapping-of-laguna-lake-f6fafa7f,"Improving the consistency of multi-temporal land cover mapping of Laguna lake watershed using light gradient boosting machine (LightGBM) approach, change detection analysis, and Markov chain",2021,"C Candido, AC Blanco, J Medina, E Gubatanga, A Santos, RS Ana, ...","Remote Sensing Applications: Society and Environment 23, 100565",other,10.1016/j.rsase.2021.100565,https://doi.org/10.1016/j.rsase.2021.100565,ariel-c-blanco|jommer-m-medina,ecosystems-biodiversity-land-change,geoai-spatial-data-science,internal,verified,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"17,319",READY - supported title and year
limitation-assessment-and-workflow-refinement-of-the-mangrove-vegetation-index-d7dd8e3c,Limitation assessment and workflow refinement of the mangrove vegetation index (MVI)-based mapping methodology using sentinel-2 imagery,2021,"MP Neri, AB Baloloy, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,20,READY - supported title and year
mangrove-biomass-estimation-using-canopy-height-and-wood-density-in-the-south-8a0689c3,Mangrove biomass estimation using canopy height and wood density in the South East and East Asian regions,2021,"R Suwa, R Rollon, S Sharma, M Yoshikai, GMG Albano, K Ono, NS Adi, ...","Estuarine, Coastal and Shelf Science 248, 106937",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,12,READY - supported title and year
mapping-coloured-dissolved-organic-matter-in-manila-bay-using-sentinel-3-and-w-eecef37f,Mapping coloured dissolved organic matter in Manila Bay Using SENTINEL-3 and Wasi,2021,"A Manuel, AC Blanco, O Cabrera","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,107,READY - supported title and year
modeling-seagrass-bed-dynamics-under-environmental-impacts-of-intensive-maricu-ec92a87e,"Modeling seagrass bed dynamics under environmental impacts of intensive mariculture activities in Bolinao and Anda, the Philippines",2021,"M Yoshikai, T Nakamura, Y Tanaka, M Nakaoka, A Watanabe, EC Herrera, ...","Estuarine, Coastal and Shelf Science 250, 107152",other,10.1016/j.ecss.2020.107152,https://doi.org/10.1016/j.ecss.2020.107152,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"39,240",READY - supported title and year
monitoring-and-assessment-of-agri-urban-land-conversion-using-multi-sensor-rem-1baac209,Monitoring and assessment of agri-urban land conversion using multi-sensor remote sensing and GIS techniques,2021,"DC Fargas Jr, GAM Narciso, AC Blanco","ISPRS annals of the photogrammetry, remote sensing and spatial information …",other,,,ariel-c-blanco,urban-sustainable-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,83,READY - supported title and year
monitoring-post-disaster-mangrove-forest-recoveries-in-lawaan-balangiga-easter-8e9ba850,"Monitoring post-disaster mangrove forest recoveries in Lawaan-Balangiga, Eastern Samar using time series analysis of moisture and vegetation indices",2021,"KV Ticman, SG Salmo III, KE Cabello, MQ Germentil, DM Burgos, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,82,READY - supported title and year
multi-sensor-approach-to-leaf-area-index-estimation-using-statistical-machine-e33afb95,Multi-sensor approach to leaf area index estimation using statistical machine learning models: A case on mangrove forests,2021,"KP Martinez, DFM Burgos, AC Blanco, SG Salmo III","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,74,READY - supported title and year
multi-task-convolution-neural-network-for-season-insensitive-chlorophyll-a-est-3891d2c9,Multi-task convolution neural network for season-insensitive chlorophyll-a estimation in inland water,2021,"M Van Nguyen, CH Lin, MA Syariz, TTH Le, AC Blanco",IEEE Journal of Selected Topics in Applied Earth Observations and Remote …,other,,,ariel-c-blanco,water-air-environmental-quality,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,61,READY - supported title and year
pasig-river-water-quality-estimation-using-an-empirical-ordinary-least-squares-a569121c,Pasig river water quality estimation using an empirical ordinary least squares regression model of sentinel-2 satellite images,2021,"JE Escoto, AC Blanco, RJ Argamosa, JM Medina","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|john-emmanuel-d-escoto|jommer-m-medina,water-air-environmental-quality,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 3 identical title/year source rows.,"27,313,320",READY - supported title and year
